Book Name,Author,Rating,Price,Description,Number of Reviews,Listening Minutes,Genres,Review_Group,Author_Book_Count,Author_Popularity_Group
Byomkesh Bakshi Stories,Saradindu Bandopadhyay,4.4,668.0,"Detective fiction has never lacked devoted fans. The undying popularity of Sherlock Holmes and Hercule Poirot vouch for that fact. In the early thirties, a detective by the name of Byomkesh Bakshi made an unobtrusive entry into the world of Bengali fiction. He preferred calling himself a satyanneshi, a seeker of truth, and within days was a household name, courtesy his cerebral skills and the exciting situations he found himself in. In the tradition of Doyle and Christie, Byomkesh is accompanied on his adventures by his friend, Ajit, slightly obtuse and the perfect foil to him.",45.0,386.0,"['Traditional Detective Mysteries', 'Crime, Thriller & Mystery (Books)']",Low,1,Low
How to Fight a Hydra,Josh Kaufman,4.5,233.0,,45.0,,,Low,3,Medium
Vishnu Ke Saat Rahasya [Seven Secrets of Vishnu],Devdutt Pattanaik,4.1,501.0,"One of the three Gods of Trinity in Hinduism is Lord Vishnu, also called the Lord of the world. In mythological texts, Vishnu is considered as the 10 incarnations of Dashavtar. Shri Ram and Shri Krishna are his most important incarnations. Vishnu's residence is in two different places: in the world, in Baikunth, and second, in the Kshir-Sagar, where he is seated on the eternal balance. In Bhagavad Gita, Vishnu has been considered as Vishwaroop or Virat Purusha. This book attempts to unlock the seven secrets of Vishnu that are relevant even in modern times.",45.0,252.0,"['Hinduism', 'Hinduism (Books)']",Low,23,Very High
Everything You Ever Wanted to Know about Bureaucracy But Were Afraid to Ask,T. R. Raghunandan,4.5,879.0,"Whatever its faults, the Indian bureaucracy cannot be accused of bias when it comes to confounding those who have to deal with it. Veteran insiders who return to it with their petitions after retirement are as clueless about how it functions as freshly minted supplicants. Outsiders in any case have little knowledge of who is responsible for what and why or how to navigate that critical proposal through the treacherous shoals of the secretariat.",45.0,525.0,"['Literary Essays', 'Business & Careers', 'Essays (Books)']",Low,1,Low
"Runner's World Complete Book of Running: Everything You Need to Run for Weight Loss, Fitness, and Competition",Amby Burfoot,4.4,836.0,,45.0,,,Low,1,Low
"The Darwin Economy: Liberty, Competition, and the Common Good",Robert H Frank,4.2,703.0,,45.0,,,Low,1,Low
The Travels of Marco Polo,Marco Polo,2.7,680.0,,46.0,,,Low,1,Low
Alice and Bob Meet the Wall of Fire: The Biggest Ideas in Science from Quanta,Thomas Lin - editor,4.7,703.0,,46.0,,,Low,1,Low
Women Aur Weight Loss Ka Tamasha [Women and the Weight Loss Tamasha],Rujuta Diwekar,3.8,1003.0,"From the author of the best-selling Don't Lose Your Mind, Lose Your Weight comes a health and diet book specifically for women. Rujuta's holistic approach to health, weight and diet has made her one of the most sought-after dieticians in the country. In Women and the Weight Loss Tamasha, Rujuta walks you through the different phases of life, from being a teenager to pregnancy to menopause. A separate chapter deals with the 'Curses We Bring on Ourselves', i.e., PCOD, hypothyroidism, diabetes, etc. Includes nutrition, workout and relationship strategies and a chapter on 'Working Women' by Kareena Kapoor. ",44.0,,,Low,5,High
Hacking the Hacker: Learn From the Experts Who Take Down Hackers,Roger A. Grimes,4.1,586.0,,45.0,,,Low,1,Low
"Aurora Burning: The Aurora Cycle, Book 2",Amie Kaufman,4.8,873.0,,45.0,,,Low,3,Medium
